time_iso8601,forks_cumulative
2025-01-08 00:00:00+00:00,1
2025-01-09 00:00:00+00:00,2
2025-01-10 00:00:00+00:00,6
2025-01-11 00:00:00+00:00,7
2025-01-12 00:00:00+00:00,8
2025-01-13 00:00:00+00:00,9
2025-01-14 00:00:00+00:00,12
2025-01-15 00:00:00+00:00,15
2025-01-16 00:00:00+00:00,23
2025-01-17 00:00:00+00:00,34
2025-01-20 00:00:00+00:00,39
2025-01-21 00:00:00+00:00,41
2025-01-22 00:00:00+00:00,42
2025-01-26 00:00:00+00:00,43
2025-01-27 00:00:00+00:00,45
2025-01-30 00:00:00+00:00,47
2025-02-01 00:00:00+00:00,48
2025-02-03 00:00:00+00:00,49
2025-02-04 00:00:00+00:00,51
2025-02-05 00:00:00+00:00,52
2025-02-06 00:00:00+00:00,54
2025-02-07 00:00:00+00:00,55
2025-02-14 00:00:00+00:00,58
2025-02-15 00:00:00+00:00,60
2025-02-16 00:00:00+00:00,61
2025-02-18 00:00:00+00:00,62
2025-02-20 00:00:00+00:00,63
2025-02-21 00:00:00+00:00,64
2025-02-24 00:00:00+00:00,66
2025-02-25 00:00:00+00:00,67
2025-02-26 00:00:00+00:00,69
2025-02-27 00:00:00+00:00,70
2025-02-28 00:00:00+00:00,71
2025-03-02 00:00:00+00:00,72
2025-03-03 00:00:00+00:00,74
2025-03-04 00:00:00+00:00,75
2025-03-05 00:00:00+00:00,77
2025-03-12 00:00:00+00:00,78
2025-03-13 00:00:00+00:00,81
2025-03-14 00:00:00+00:00,83
2025-03-15 00:00:00+00:00,84
2025-03-17 00:00:00+00:00,85
2025-03-19 00:00:00+00:00,86
2025-03-20 00:00:00+00:00,88
2025-03-21 00:00:00+00:00,90
2025-03-24 00:00:00+00:00,92
2025-03-27 00:00:00+00:00,95
2025-03-28 00:00:00+00:00,96
2025-03-29 00:00:00+00:00,97
2025-03-31 00:00:00+00:00,98
2025-04-02 00:00:00+00:00,99
2025-04-05 00:00:00+00:00,100
2025-04-08 00:00:00+00:00,101
2025-04-10 00:00:00+00:00,102
2025-04-11 00:00:00+00:00,103
2025-04-14 00:00:00+00:00,104
2025-04-15 00:00:00+00:00,105
2025-04-16 00:00:00+00:00,106
2025-04-17 00:00:00+00:00,107
